vehicle_id,name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,vehicle_class,pilot_id,film_id,url
1,Sand Crawler,Digger Crawler,Corellia Mining Corporation,150000,36.8 ,30,46,30,50000,2 months,wheeled,(),"(1, 5)",https://swapi.dev/api/vehicles/4/
2,T-16 skyhopper,T-16 skyhopper,Incom Corporation,14500,10.4 ,1200,1,1,50,0,repulsorcraft,(),"(1,)",https://swapi.dev/api/vehicles/6/
3,X-34 landspeeder,X-34 landspeeder,SoroSuub Corporation,10550,3.4 ,250,1,1,5,unknown,repulsorcraft,(),"(1,)",https://swapi.dev/api/vehicles/7/
4,TIE/LN starfighter,Twin Ion Engine/Ln Starfighter,Sienar Fleet Systems,unknown,6.4,1200,1,0,65,2 days,starfighter,(),"(1, 2, 3)",https://swapi.dev/api/vehicles/8/
5,Snowspeeder,t-47 airspeeder,Incom corporation,unknown,4.5,650,2,0,10,none,airspeeder,"(1, 18)","(2,)",https://swapi.dev/api/vehicles/14/
6,TIE bomber,TIE/sa bomber,Sienar Fleet Systems,unknown,7.8,850,1,0,none,2 days,space/planetary bomber,(),"(2, 3)",https://swapi.dev/api/vehicles/16/
7,AT-AT,All Terrain Armored Transport,"Kuat Drive Yards, Imperial Department of Military Research",unknown,20,60,5,40,1000,unknown,assault walker,(),"(2, 3)",https://swapi.dev/api/vehicles/18/
8,AT-ST,All Terrain Scout Transport,"Kuat Drive Yards, Imperial Department of Military Research",unknown,2,90,2,0,200,none,walker,"(13,)","(2, 3)",https://swapi.dev/api/vehicles/19/
9,Storm IV Twin-Pod cloud car,Storm IV Twin-Pod,Bespin Motors,75000,7,1500,2,0,10,1 day,repulsorcraft,(),"(2,)",https://swapi.dev/api/vehicles/20/
10,Sail barge,Modified Luxury Sail Barge,Ubrikkian Industries Custom Vehicle Division,285000,30,100,26,500,2000000,Live food tanks,sail barge,(),"(3,)",https://swapi.dev/api/vehicles/24/
11,Bantha-II cargo skiff,Bantha-II,Ubrikkian Industries,8000,9.5,250,5,16,135000,1 day,repulsorcraft cargo skiff,(),"(3,)",https://swapi.dev/api/vehicles/25/
12,TIE/IN interceptor,Twin Ion Engine Interceptor,Sienar Fleet Systems,unknown,9.6,1250,1,0,75,2 days,starfighter,(),"(3,)",https://swapi.dev/api/vehicles/26/
13,Imperial Speeder Bike,74-Z speeder bike,Aratech Repulsor Company,8000,3,360,1,1,4,1 day,speeder,"(1, 5)","(3,)",https://swapi.dev/api/vehicles/30/
14,Vulture Droid,Vulture-class droid starfighter,"Haor Chall Engineering, Baktoid Armor Workshop",unknown,3.5,1200,0,0,0,none,starfighter,(),"(4, 6)",https://swapi.dev/api/vehicles/33/
15,Multi-Troop Transport,Multi-Troop Transport,Baktoid Armor Workshop,138000,31,35,4,112,12000,unknown,repulsorcraft,(),"(4,)",https://swapi.dev/api/vehicles/34/
16,Armored Assault Tank,Armoured Assault Tank,Baktoid Armor Workshop,unknown,9.75,55,4,6,unknown,unknown,repulsorcraft,(),"(4,)",https://swapi.dev/api/vehicles/35/
17,Single Trooper Aerial Platform,Single Trooper Aerial Platform,Baktoid Armor Workshop,2500,2,400,1,0,none,none,repulsorcraft,(),"(4,)",https://swapi.dev/api/vehicles/36/
18,C-9979 landing craft,C-9979 landing craft,Haor Chall Engineering,200000,210,587,140,284,1800000,1 day,landing craft,(),"(4,)",https://swapi.dev/api/vehicles/37/
19,Tribubble bongo,Tribubble bongo,Otoh Gunga Bongameken Cooperative,unknown,15,85,1,2,1600,unknown,submarine,"(10, 32)","(4,)",https://swapi.dev/api/vehicles/38/
20,Sith speeder,FC-20 speeder bike,Razalon,4000,1.5,180,1,0,2,unknown,speeder,"(44,)","(4,)",https://swapi.dev/api/vehicles/42/
21,Zephyr-G swoop bike,Zephyr-G swoop bike,Mobquet Swoops and Speeders,5750,3.68,350,1,1,200,none,repulsorcraft,"(11,)","(5,)",https://swapi.dev/api/vehicles/44/
22,Koro-2 Exodrive airspeeder,Koro-2 Exodrive airspeeder,Desler Gizh Outworld Mobility Corporation,unknown,6.6,800,1,1,80,unknown,airspeeder,"(70,)","(5,)",https://swapi.dev/api/vehicles/45/
23,XJ-6 airspeeder,XJ-6 airspeeder,Narglatch AirTech prefabricated kit,unknown,6.23,720,1,1,unknown,unknown,airspeeder,"(11,)","(5,)",https://swapi.dev/api/vehicles/46/
24,LAAT/i,Low Altitude Assault Transport/infrantry,Rothana Heavy Engineering,unknown,17.4,620,6,30,170,unknown,gunship,(),"(5, 6)",https://swapi.dev/api/vehicles/50/
25,LAAT/c,Low Altitude Assault Transport/carrier,Rothana Heavy Engineering,unknown,28.82,620,1,0,40000,unknown,gunship,(),"(5,)",https://swapi.dev/api/vehicles/51/
26,AT-TE,All Terrain Tactical Enforcer,"Rothana Heavy Engineering, Kuat Drive Yards",unknown,13.2,60,6,36,10000,21 days,walker,(),"(5, 6)",https://swapi.dev/api/vehicles/53/
27,SPHA,Self-Propelled Heavy Artillery,Rothana Heavy Engineering,unknown,140,35,25,30,500,7 days,walker,(),"(5,)",https://swapi.dev/api/vehicles/54/
28,Flitknot speeder,Flitknot speeder,Huppla Pasa Tisc Shipwrights Collective,8000,2,634,1,0,unknown,unknown,speeder,"(67,)","(5,)",https://swapi.dev/api/vehicles/55/
29,Neimoidian shuttle,Sheathipede-class transport shuttle,Haor Chall Engineering,unknown,20,880,2,6,1000,7 days,transport,(),"(5, 6)",https://swapi.dev/api/vehicles/56/
30,Geonosian starfighter,Nantex-class territorial defense,Huppla Pasa Tisc Shipwrights Collective,unknown,9.8,20000,1,0,unknown,unknown,starfighter,(),"(5,)",https://swapi.dev/api/vehicles/57/
