starship_id,name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,MGLT,starship_class,pilot_id,film_id,url
2,CR90 corvette,CR90 corvette,Corellian Engineering Corporation,3500000.0,150.0,950.0,,600.0,3000000.0,1 year,2.0,60.0,corvette,(),"(1, 3, 6)",https://swapi.dev/api/starships/2/
3,Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,150000000.0,1600.0,975.0,47060.0,,36000000.0,2 years,2.0,60.0,Star Destroyer,(),"(1, 2, 3)",https://swapi.dev/api/starships/3/
5,Sentinel-class landing craft,Sentinel-class landing craft,"Sienar Fleet Systems, Cyngus Spaceworks",240000.0,38.0,1000.0,5.0,75.0,180000.0,1 month,1.0,70.0,landing craft,(),"(1,)",https://swapi.dev/api/starships/5/
9,Death Star,DS-1 Orbital Battle Station,"Imperial Department of Military Research, Sienar Fleet Systems",1000000000000.0,120000.0,,342953.0,843342.0,1000000000000.0,3 years,4.0,10.0,Deep Space Mobile Battlestation,(),"(1,)",https://swapi.dev/api/starships/9/
10,Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,100000.0,34.37,1050.0,4.0,6.0,100000.0,2 months,0.5,75.0,Light freighter,"(13, 14, 25, 31)","(1, 2, 3)",https://swapi.dev/api/starships/10/
11,Y-wing,BTL Y-wing,Koensayr Manufacturing,134999.0,14.0,1000.0,2.0,0.0,110.0,1 week,1.0,80.0,assault starfighter,(),"(1, 2, 3)",https://swapi.dev/api/starships/11/
12,X-wing,T-65 X-wing,Incom Corporation,149999.0,12.5,1050.0,1.0,0.0,110.0,1 week,1.0,100.0,Starfighter,"(1, 9, 18, 19)","(1, 2, 3)",https://swapi.dev/api/starships/12/
13,TIE Advanced x1,Twin Ion Engine Advanced x1,Sienar Fleet Systems,,9.2,1200.0,1.0,0.0,150.0,5 days,1.0,105.0,Starfighter,"(4,)","(1,)",https://swapi.dev/api/starships/13/
15,Executor,Executor-class star dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000.0,19000.0,,279144.0,38000.0,250000000.0,6 years,2.0,40.0,Star dreadnought,(),"(2, 3)",https://swapi.dev/api/starships/15/
17,Rebel transport,GR-75 medium transport,"Gallofree Yards, Inc.",,90.0,650.0,6.0,90.0,19000000.0,6 months,4.0,20.0,Medium transport,(),"(2, 3)",https://swapi.dev/api/starships/17/
21,Slave 1,Firespray-31-class patrol and attack,Kuat Systems Engineering,,21.5,1000.0,1.0,6.0,70000.0,1 month,3.0,70.0,Patrol craft,"(22,)","(2, 5)",https://swapi.dev/api/starships/21/
22,Imperial shuttle,Lambda-class T-4a shuttle,Sienar Fleet Systems,240000.0,20.0,850.0,6.0,20.0,80000.0,2 months,1.0,50.0,Armed government transport,"(1, 13, 14)","(2, 3)",https://swapi.dev/api/starships/22/
23,EF76 Nebulon-B escort frigate,EF76 Nebulon-B escort frigate,Kuat Drive Yards,8500000.0,300.0,800.0,854.0,75.0,6000000.0,2 years,2.0,40.0,Escort ship,(),"(2, 3)",https://swapi.dev/api/starships/23/
27,Calamari Cruiser,MC80 Liberty type Star Cruiser,Mon Calamari shipyards,104000000.0,1200.0,,5400.0,1200.0,,2 years,1.0,60.0,Star Cruiser,(),"(3,)",https://swapi.dev/api/starships/27/
28,A-wing,RZ-1 A-wing Interceptor,"Alliance Underground Engineering, Incom Corporation",175000.0,9.6,1300.0,1.0,0.0,40.0,1 week,1.0,120.0,Starfighter,"(29,)","(3,)",https://swapi.dev/api/starships/28/
29,B-wing,A/SF-01 B-wing starfighter,Slayn & Korpil,220000.0,16.9,950.0,1.0,0.0,45.0,1 week,2.0,91.0,Assault Starfighter,(),"(3,)",https://swapi.dev/api/starships/29/
31,Republic Cruiser,Consular-class cruiser,Corellian Engineering Corporation,,115.0,900.0,9.0,16.0,,unknown,2.0,,Space cruiser,(),"(4,)",https://swapi.dev/api/starships/31/
32,Droid control ship,Lucrehulk-class Droid Control Ship,"Hoersch-Kessel Drive, Inc.",,3170.0,,175.0,139000.0,4000000000.0,500 days,2.0,,Droid control ship,(),"(4, 5, 6)",https://swapi.dev/api/starships/32/
39,Naboo fighter,N-1 starfighter,Theed Palace Space Vessel Engineering Corps,200000.0,11.0,1100.0,1.0,0.0,65.0,7 days,1.0,,Starfighter,"(11, 35, 60)","(4, 5)",https://swapi.dev/api/starships/39/
40,Naboo Royal Starship,J-type 327 Nubian royal starship,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",,76.0,920.0,8.0,,,unknown,1.8,,yacht,"(39,)","(4,)",https://swapi.dev/api/starships/40/
41,Scimitar,Star Courier,Republic Sienar Systems,55000000.0,26.5,1180.0,1.0,6.0,2500000.0,30 days,1.5,,Space Transport,"(44,)","(4,)",https://swapi.dev/api/starships/41/
43,J-type diplomatic barge,J-type diplomatic barge,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",2000000.0,39.0,2000.0,5.0,10.0,,1 year,0.7,,Diplomatic barge,(),"(5,)",https://swapi.dev/api/starships/43/
47,AA-9 Coruscant freighter,Botajef AA-9 Freighter-Liner,Botajef Shipyards,,390.0,,,30000.0,,unknown,,,freighter,(),"(5,)",https://swapi.dev/api/starships/47/
48,Jedi starfighter,Delta-7 Aethersprite-class interceptor,Kuat Systems Engineering,180000.0,8.0,1150.0,1.0,0.0,60.0,7 days,1.0,,Starfighter,"(10, 58)","(5, 6)",https://swapi.dev/api/starships/48/
49,H-type Nubian yacht,H-type Nubian yacht,Theed Palace Space Vessel Engineering Corps,,47.9,8000.0,4.0,,,unknown,0.9,,yacht,"(35,)","(5,)",https://swapi.dev/api/starships/49/
52,Republic Assault ship,Acclamator I-class assault ship,Rothana Heavy Engineering,,752.0,,700.0,16000.0,11250000.0,2 years,0.6,,assault ship,(),"(5,)",https://swapi.dev/api/starships/52/
58,Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,35700.0,15.2,1600.0,3.0,11.0,240.0,7 days,1.5,,yacht,(),"(5,)",https://swapi.dev/api/starships/58/
59,Trade Federation cruiser,Providence-class carrier/destroyer,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",125000000.0,1088.0,1050.0,600.0,48247.0,50000000.0,4 years,1.5,,capital ship,"(10, 11)","(6,)",https://swapi.dev/api/starships/59/
61,Theta-class T-2c shuttle,Theta-class T-2c shuttle,Cygnus Spaceworks,1000000.0,18.5,2000.0,5.0,16.0,50000.0,56 days,1.0,,transport,(),"(6,)",https://swapi.dev/api/starships/61/
63,Republic attack cruiser,Senator-class Star Destroyer,"Kuat Drive Yards, Allanteen Six shipyards",59000000.0,1137.0,975.0,7400.0,2000.0,20000000.0,2 years,1.0,,star destroyer,(),"(6,)",https://swapi.dev/api/starships/63/
64,Naboo star skiff,J-type star skiff,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",,29.2,1050.0,3.0,3.0,,unknown,0.5,,yacht,"(10, 35)","(6,)",https://swapi.dev/api/starships/64/
65,Jedi Interceptor,Eta-2 Actis-class light interceptor,Kuat Systems Engineering,320000.0,5.47,1500.0,1.0,0.0,60.0,2 days,1.0,,starfighter,"(10, 11)","(6,)",https://swapi.dev/api/starships/65/
66,arc-170,Aggressive Reconnaissance-170 starfighte,"Incom Corporation, Subpro Corporation",155000.0,14.5,1000.0,3.0,0.0,110.0,5 days,1.0,100.0,starfighter,(),"(6,)",https://swapi.dev/api/starships/66/
68,Banking clan frigte,Munificent-class star frigate,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",57000000.0,825.0,,200.0,,40000000.0,2 years,1.0,,cruiser,(),"(6,)",https://swapi.dev/api/starships/68/
74,Belbullab-22 starfighter,Belbullab-22 starfighter,Feethan Ottraw Scalable Assemblies,168000.0,6.71,1100.0,1.0,0.0,140.0,7 days,6.0,,starfighter,"(10, 79)","(6,)",https://swapi.dev/api/starships/74/
75,V-wing,Alpha-3 Nimbus-class V-wing starfighter,Kuat Systems Engineering,102500.0,7.9,1050.0,1.0,0.0,60.0,15 hours,1.0,,starfighter,(),"(6,)",https://swapi.dev/api/starships/75/
